,state,action_space,reward,Q,action
324,"[1, 1]",r,0,5.2021732146401064e-08,3
325,"[0, 1]",d,0,1.6806085707391356e-06,1
326,"[0, 2]",d,0,5.02686606748198e-05,1
327,"[0, 3]",l,0,0.0011507601273858872,2
328,"[1, 3]",l,0,0.018789355572168737,2
329,"[2, 3]",u,1,0.19836941046095402,0
330,"[0, 0]",l,0,6.092682949920093e-11,2
331,"[1, 0]",d,0,2.159468466666979e-09,1
332,"[1, 1]",r,0,6.662699196158927e-08,3
333,"[0, 1]",d,0,2.1162204311051226e-06,1
334,"[0, 2]",d,0,6.012281521454458e-05,1
335,"[0, 3]",l,0,0.001308356726261547,2
336,"[1, 3]",l,0,0.020386786710595635,2
337,"[2, 3]",u,1,0.20638571635634448,0
338,"[0, 0]",u,0,5.526616584905919e-13,0
339,"[0, 0]",l,0,7.975277740421174e-11,2
340,"[1, 0]",d,0,2.7375167096546123e-09,1
341,"[1, 1]",r,0,8.500670592191948e-08,3
342,"[0, 1]",d,0,2.6361635637249725e-06,1
343,"[0, 2]",d,0,7.129679759875307e-05,1
344,"[0, 3]",l,0,0.0014787542393942922,2
345,"[1, 3]",l,0,0.02204039029069678,2
346,"[2, 3]",u,1,0.21432185919278104,0
347,"[0, 0]",l,0,1.0359290001706114e-10,2
348,"[1, 0]",d,0,3.4752018958553416e-09,1
349,"[1, 1]",r,0,1.0788211093622503e-07,3
350,"[0, 1]",u,0,1.0428490266123075e-12,0
351,"[0, 0]",l,0,1.338337880795886e-10,2
352,"[1, 0]",d,0,4.411388875322814e-09,1
353,"[1, 1]",r,0,1.3052876190038752e-07,3
354,"[0, 1]",d,0,3.2514731064765003e-06,1
355,"[0, 2]",d,0,8.389261777731417e-05,1
356,"[0, 3]",l,0,0.0016623302096166203,2
357,"[1, 3]",l,0,0.023748883120524842,2
358,"[2, 3]",d,0,0.0030201844178142246,1
359,"[2, 3]",u,1,0.22217864060085324,0
